device_codename,brand,Retail Branding,Marketing Name,Device,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot,memory_phonebook,memory_call_records,sound_loudspeaker,sound_alert_types,sound_3.5mm_jack,comms_wlan,comms_bluetooth,comms_gps,comms_radio,comms_usb,features_sensors,features_messaging,features_browser,features_clock,features_alarm,features_games,features_java,features,misc_colors,network_3g_bands,network_speed,platform_os,platform_chipset,platform_cpu,platform_gpu,memory_internal,main_camera_single,main_camera_video,misc_price,main_camera_features,body,network_4g_bands,body_build,display_protection,memory,main_camera_dual,selfie_camera_dual,selfie_camera_features,selfie_camera_video,comms_nfc,battery_charging,misc_models,tests_performance,tests_camera,tests_loudspeaker,tests_audio_quality,tests_battery_life,tests_display,selfie_camera_single,comms_infrared_port,network_5g_bands,main_camera_quad,main_camera_triple,sound,misc_sar_eu,main_camera_five,features_languages,body_keyboard,misc_sar,battery,main_camera_dual_or_triple,battery_music_play,selfie_camera_triple,main_camera_v1,selfie_camera,camera,main_camera,network,battery_talk_time,battery_stand.by
noblelte,samsung,Samsung,Galaxy Note5,noblelte,Samsung,Galaxy Note5,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, August","Available. Released 2015, August",153.2 x 76.1 x 7.6 mm (6.03 x 3.00 x 0.30 in),171 g (6.03 oz),Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 88.5 cm (~75.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~518 ppi density)",,No,,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS",No,"microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",,,,,,,ANT+  S-Voice natural language commands and dictation,"Black Sapphire, Gold Platinum, Silver Titan, White Pearl",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps/ LTE-A (3CA) Cat9 450/50 Mbps","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7420 Octa (14 nm),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,"32/64/128 GB, 4 GB RAM","16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, OIS, AF","2160p@30fps, 1080p@60fps, dual-video rec.",About 470 EUR,"LED flash, panorama, HDR","Stylus  Samsung Pay (Visa, MasterCard certified)","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 18(800), 19(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500)","Front/back glass (Gorilla Glass 4), aluminum frame",Corning Gorilla Glass 4,,,,"Dual video call, Auto-HDR",1440p@30fps,Yes,Fast battery charging 15W (Quick Charge 2.0)  Qi/PMA wireless charging (market dependent),"SM-N920, SM-N920T, SM-N920A, SM-N920I, SM-N920G, SM-N920F, SM-N920S, SM-N920L, SM-N920K, SM-N9200",Basemark OS II: 1852 / Basemark OS II 2.0: 1880Basemark X: 26281,Photo / Video,Voice 66dB / Noise 67dB / Ring 71dB,Noise -93.6dB / Crosstalk -94.7dB,Endurance rating 85h,"Contrast ratio: Infinite (nominal), 4.090 (sunlight)","5 MP, f/1.9, 22mm (wide), 1/4.1"", 1.34µm",,,,,24-bit/192kHz audio  Active noise cancellation with dedicated mic,0.45 W/kg (head)     0.58 W/kg (body)    ,,,,1.53 W/kg (head)     1.28 W/kg (body)    ,Non-removable Li-Po 3000 mAh battery,,Up to 64 h,,,,,,,Up to 22 h (3G),
R7f,OPPO,Oppo,R7 lite,R7f,Oppo,R7 lite,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, September","Available. Released 2015, October",143 x 71 x 6.3 mm (5.63 x 2.80 x 0.25 in),147 g (5.19 oz),"Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (uses shared SIM slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",No,"microUSB 2.0, USB Host","Accelerometer, proximity, compass",,,,,,,,"Golden, Silver","HSDPA 850 / 900 / 1900 / 2100 - Global, Philippines","HSPA, LTE Cat4 150/50 Mbps",Android 5.1 (Lollipop); ColorOS 2.1,Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,"16 GB, 2 GB RAM","13 MP, PDAF",1080p@30fps,About 250 EUR,"Schneider-Kreuznach optics, LED flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 40(2300) - Global",,Corning Gorilla Glass 3,,,,,,,Fast battery charging 5V/4A 20W: 75% in 30 min (VOOC Flash Charge),R7kf,,,,,,,8 MP,,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Po 2320 mAh battery,,,,,,,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 40(2300) - Philippines",,
P1ma40,Lenovo,Lenovo,Vibe P1m,P1ma40,Lenovo,Vibe P1m,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, September","Available. Released 2015, October",141 x 71.8 x 9.3 mm (5.55 x 2.83 x 0.37 in),148 g (5.22 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,,,,,,"Onyx Black, Pearl White",HSDPA 900 / 2100,"HSPA, LTE Cat4 150/50 Mbps",Android 5.1 (Lollipop),Mediatek MT6735P (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,"16 GB, 2 GB RAM","8 MP, AF, f/2.2",720p@30fps,About 110 EUR,LED flash,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)",,,,,,,,,Fast battery charging 15W,P1ma40,,,,,,,5 MP,,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Po 4000 mAh battery,,,,,,,,,Up to 36 h (2G) / Up to 16 h (3G),Up to 456 h (2G) / Up to 566 h (3G)
"iPhone7,2",Apple,Apple,iPhone 6,"iPhone7,2",Apple,iPhone 6,GSM / CDMA / HSPA / EVDO / LTE,"GSM 850 / 900 / 1800 / 1900 - A1549 (GSM), A1549 (CDMA), A1586",Yes,Yes,"2014, September","Available. Released 2014, September",138.1 x 67 x 6.9 mm (5.44 x 2.64 x 0.27 in),129 g (4.55 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)",,No,,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, proprietary reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",,,,,,,Siri natural language commands and dictation,"Space Gray, Silver, Gold","HSDPA 850 / 900 / 1700 / 1900 / 2100 - A1549 (GSM), A1549 (CDMA), A1586","HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps","iOS 8, upgradable to iOS 12.2",Apple A8 (20 nm),Dual-core 1.4 GHz Typhoon (ARM v8-based),PowerVR GX6450 (quad-core graphics),"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm (standard), 1/3"", 1.5µm, PDAF","1080p@60fps, 720p@240fps",About 360 EUR,"Dual-LED dual-tone flash, HDR","Apple Pay (Visa, MasterCard, AMEX certified)","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700) - A1549 GSM, A1549 CDMA","Front glass, aluminum body","Ion-strengthened glass, oleophobic coating",,,,"face detection, HDR, FaceTime over Wi-Fi or Cellular",720p@30fps,Yes (Apple Pay only),,,Basemark OS II: 1252 / Basemark X: 15841,Photo / Video,Voice 66dB / Noise 65dB / Ring 72dB,Noise -94dB / Crosstalk -73.4dB,Endurance rating 61h,"Contrast ratio: 1213 (nominal), 3.838 (sunlight)","1.2 MP, f/2.2, 31mm (standard)",,,,,16-bit/44.1kHz audio  Active noise cancellation with dedicated mic,0.98 W/kg (head)     0.97 W/kg (body)    ,,,,1.18 W/kg (head)     1.18 W/kg (body)    ,Non-removable Li-Po 1810 mAh battery (6.9 Wh),,Up to 50 h,,,,,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500) - A1586",Up to 14 h (3G),Up to 250 h (3G)
angus3A4,Lenovo,Lenovo,Vibe C,angus3A4,Lenovo,Vibe C,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, May","Available. Released 2016, May",143.5 x 71.8 x 9 mm (5.65 x 2.83 x 0.35 in),166 g (5.86 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,,,,,,"Black, White",HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE Cat4 150/50 Mbps",Android 5.1.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,Adreno 304,"8 GB, 1 GB RAM",5 MP,720p@30fps,About 90 EUR,LED flash,,"LTE band 1(2100), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 38(2600), B40, B41",Plastic body,,,,,,,,,A2020a40,,,,,,,2 MP,,,,,,,,,,,Removable Li-Po 2300 mAh battery,,,,,,,,,,
HWHol-U,HUAWEI,Honor,Holly,HWHol-U,Honor,Holly,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 12,"2014, October","Available. Released 2014, October",142.2 x 72.3 x 9.4 mm (5.60 x 2.85 x 0.37 in),156 g (5.50 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,"White, Black",HSDPA,HSPA 21.1/5.76 Mbps,Android 4.4.2 (KitKat); EMUI 2.3,Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"16 GB, 1 GB RAM","8 MP, AF, f/2.0",1080p@30fps,About 100 EUR,"LED flash, panorama, HDR",,,,,,,,,,,,Hol-U19,,,,,,,2 MP,,,,,Active noise cancellation with dedicated mic,,,,,,Removable Li-Ion 2000 mAh battery,,,,,,,,,,
mx4pro,Meizu,Meizu,MX4 Pro,mx4pro,Meizu,MX4 Pro,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, October","Available. Released 2014, December",150.1 x 77 x 9 mm (5.91 x 3.03 x 0.35 in),158 g (5.57 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 85.2 cm (~73.7% screen-to-body ratio)","1536 x 2560 pixels, 5:3 ratio (~546 ppi density)",,No,,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, QZSS",No,"microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,,,,,,,"Gray, Gold, White",HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE Cat4 150/50 Mbps",Android 4.4.4 (KitKat); Flyme 4,Exynos 5430 Octa (20 nm),Octa-core (4x2.0 GHz Cortex-A15 & 4x1.5 GHz Cortex-A7),Mali-T628MP6,"16/32/64 GB, 3 GB RAM","20.7 MP, f/2.2, 1/2.3"", AF","2160p@30fps, 1080p@30fps",About 400 EUR,"Dual-LED dual-tone flash, HDR, panorama",,"LTE band 1(2100), 3(1800), 7(2600)",,Corning Gorilla Glass 3,,,,,1080p@30fps,Yes,,,Basemark OS II: 922 / Basemark OS II 2.0: 863Basemark X: 9111,Photo / Video,Voice 76dB / Noise 73dB / Ring 82dB,Noise -92.4dB / Crosstalk -93.5dB,Endurance rating 67h,"Contrast ratio: 1127 (nominal), 2.765 (sunlight)","5 MP, f/2.0",,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable 3350 mAh battery,,,,,,,,"LTE band 38(2600), 39(1900), 40(2300), 41(2500) - China Mobile",,
a3y17lte,samsung,Samsung,Galaxy A3 (2017),a3y17lte,Samsung,Galaxy A3 (2017),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2017, January","Available. Released 2017, January",135.4 x 66.2 x 7.9 mm (5.33 x 2.61 x 0.31 in),138 g (4.87 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~67.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Always-on display,"microSD, up to 256 GB (uses shared SIM slot) - dual SIM model only",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",,,,,,,ANT+,"Black Sky, Gold Sand, Blue Mist, Peach Cloud",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo)",Exynos 7870 Octa (14 nm),Octa-core 1.6 GHz Cortex-A53,Mali-T830 MP1,"16 GB, 2 GB RAM","13 MP, 27mm (wide), AF, f/1.9",1080p@30fps,About 220 EUR,"LED flash, panorama",Samsung Pay  IP68 dust/water proof (up to 1.5m for 30 mins),"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","Front/back glass (Gorilla Glass 4), aluminum frame",Corning Gorilla Glass 4,,,,,,Yes,,"SM-A320F, SM-A320Y, SM-A320FL",Basemark OS II 2.0: 999 / Basemark X: 5160,Photo / Video,Voice 66dB / Noise 66dB / Ring 75dB,Noise -94.7dB / Crosstalk -92.3dB,Endurance rating 93h,"Contrast ratio: Infinite (nominal),  3.688 (sunlight)","8 MP, f/1.9, 24mm (wide)",,,,,Active noise cancellation with dedicated mic,0.35 W/kg (head)     1.38 W/kg (body)    ,,,,,Non-removable Li-Ion 2350 mAh battery,,Up to 55 h,,,,,,,Up to 17 h (3G),
S50D,EVERCOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS_T00N,asus,Asus,PadFone S,ASUS_T00N,Asus,PadFone S,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, March","Available. Released 2014, July",143.4 x 72.5 x 10 mm (5.65 x 2.85 x 0.39 in),150 g (5.29 oz),Micro-SIM,"Super IPS+ LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,"microSD, up to 64 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",No,"microUSB 2.0 (SlimPort TV-out), USB Host","Accelerometer, gyro, proximity, compass",,,,,,,,"Titanium Black, Platinum White, Dark Ruby",HSDPA 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",Qualcomm MSM8974AB Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,"16 GB, 2 GB RAM","13 MP, AF, f/2.0","2160p@12-25fps, 1080p@30fps, 720p@60fps",About 250 EUR,LED flash,"Padfone Station with 9 inches IPS display, 1920 x 1200 pixels, 4990 mAh battery, front camera. 250.4 x 172.3 x 11.6 mm, 514 grams",LTE 700 / 900 / 1700/2100 / 1800 / 1900 / 2100 / 2600,,Corning Gorilla Glass,,,,,1080p@30fps,Yes,,T00N,,,,,,,"2 MP, f/2.0",,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Po 2300 mAh battery,,,,,,,,LTE 800 / 900 / 1700/2100 / 1800 / 1900 / 2100 / 2600,Up to 30 h (2G) / Up to 22 h (3G),Up to 417 h (2G) / Up to 528 h (3G)
j3y17lte,samsung,Samsung,Galaxy J3 (2017),j3y17lte,Samsung,Galaxy J3 (2017),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2017, June","Available. Released 2017, July",143.2 x 70.3 x 8.2 mm (5.64 x 2.77 x 0.32 in),142 g (5.01 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","PLS capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,,,,,,"White, Black, Gold, Blue",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo)",Exynos 7570 Quad (14 nm),Quad-core 1.4 GHz Cortex-A53,Mali-T720 MP2,"16 GB, 2 GB RAM","13 MP, AF, f/1.9",1080p@30fps,About 110 EUR,"LED flash, HDR, panorama",,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 38(2600), 40(2300)",Aluminum body,,,,,LED flash,,Yes (optional),,"SM-J330F, J330F, J330G, SM-J330G, SM-J330FN, SM-J3308, SM-J327F, SM-S337TL",,,,,,,"5 MP, f/2.2",,,,,Active noise cancellation with dedicated mic,0.66 W/kg (head)     1.32 W/kg (body)    ,,,,,Non-removable Li-Ion 2400 mAh battery,,Up to 61 h,,,,,,,Up to 15 h (3G),
jadelte,samsung,Samsung,Galaxy J7 (2017),jadelte,Samsung,Galaxy J7 (2017),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, June","Available. Released 2017, July",152.5 x 74.8 x 8 mm (6.00 x 2.94 x 0.31 in),181 g (6.38 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~73.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Always-on display,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,,,,,,ANT+,"Black, Blue, Gold, Rose Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Android 7.0 (Nougat),Exynos 7870 Octa (14 nm),Octa-core 1.6 GHz Cortex-A53,Mali-T830 MP1,"16 GB, 3 GB RAM","13 MP, f/1.7, 27mm (wide), 1/3.1"", 1.12µm, AF",1080p@30fps,About 200 EUR,"LED flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 40(2300)","Front glass, aluminum body",,,,,LED flash,1080p@30fps,Yes,,"SM-J730F, SM-J730FM",Basemark OS II: 1171 / Basemark X: 5489,Photo / Video,Voice 67dB / Noise 71dB / Ring 83dB,Noise -92.8dB / Crosstalk -92.3dB,Endurance rating 108h,"Contrast ratio: Infinite (nominal), 3.812 (sunlight)","13 MP, f/1.9, 28mm (wide)",,,,,,0.57 W/kg (head)     1.33 W/kg (body)    ,,,,,Non-removable Li-Ion 3600 mAh battery,,Up to 91 h,,,,,,,Up to 24 h (3G),
CROSS2,TCL,alcatel,Flash Plus,CROSS2,alcatel,Flash Plus,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, May","Available. Released 2015, May",152.3 x 76.4 x 8 mm (6.00 x 3.01 x 0.31 in),147 g (5.19 oz),Dual SIM,"Capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,Slate/Gold,HSDPA 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Android 4.4.4 (KitKat),Mediatek MT6752M,Octa-core 1.5 GHz Cortex-A53,Mali-T760MP2,"16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,About 130 EUR,"LED flash, HDR, panorama",,"LTE band 1(2100), 3(1800), 38(2600), 39(1900), 40(2300), 41(2500)",,,,,,,,,,,,,,,,,"8 MP, AF",,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Ion 3500 mAh battery,,Up to 28 h,,,,,,,Up to 30 h (2G) / Up to 10 h (3G),Up to 490 h (2G) / Up to 490 h (3G)
Y28,vivo,Vivo,Y28,Y28,Vivo,Y28,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, December","Available. Released 2014, December",137.4 x 68.6 x 9.8 mm (5.41 x 2.70 x 0.39 in),156 g (5.50 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 64.2 cm (~68.1% screen-to-body ratio)","540 x 960 pixels, 16:10 ratio (~216 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,White,HSDPA 850 / 900 / 2100,HSPA 21.1/5.76 Mbps,Android 4.2.2 (Jelly Bean),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"8 GB, 1 GB RAM","8 MP, AF",1080p@30fps,About 100 EUR,LED flash,,,,,,,,,,,,Y28,,,,,,,5 MP,Yes,,,,Active noise cancellation with dedicated mic,,,,,,Removable Li-Po 2100 mAh battery,,Up to 32 h,,,,,,,Up to 14 h (2G) / Up to 13 h (3G),Up to 430 h (2G) / Up to 430 h (3G)
mlt6755_65t_m,POLYTRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVAN_A8,ADVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z01B_1,asus,Asus,Zenfone 3 Laser ZC551KL,Z01B_1,Asus,Zenfone 3 Laser ZC551KL,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, July","Available. Released 2016, August",149 x 76 x 7.9 mm (5.87 x 2.99 x 0.31 in),150 g (5.29 oz),"Hybrid Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~73.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 128 GB (uses shared SIM slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,,,,,,"Sand Gold, Glacier Silver",HSDPA 850 / 900 / 1900 / 2100 - Global,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 6.1 (Marshmallow), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,"16/32 GB, 2/4 GB RAM","13 MP, f/2.0, 1/3"", 1.12µm, laser AF",1080p@30fps (gyro-EIS),About 160 EUR,"Dual-LED dual-tone flash, panorama, HDR",,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800) - Global",,Corning Gorilla Glass 3,,,,,,,,Z01BDB,,,,,,,"8 MP, f/2.0, 24mm",,,,,,,,,,,Non-removable Li-Ion 3000 mAh battery,,,,,,,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 28(700) - USA",,
